MUNICIPIOS,VIGENCIA,O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES POSTURA TOTAL Aves Año,O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES POSTURA TOTAL  HUEVOS AÑO,O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES DE ENGORDE TOTAL AVES AÑO,O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES DE ENGORDE AVES POR CICLO,O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES DE ENGORDE CICLOS Año,O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES DE ENGORDE TOTAL AVES PRODUCIDOS*,O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES DE ENGORDE TOTAL  CARNE (Kgs),O T R A S   E S P E C I E S   P E C U A R I A S APICULTURA Número O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES DE ENGORDE de Colmenas,O T R A S   E S P E C I E S   P E C U A R I A S APICULTURA Producción O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES DE ENGORDE Miel Kgs,O T R A S   E S P E C I E S   P E C U A R I A S APICULTURA Precio al  Productor $/Kl,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES CABALLAR,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES ASNAL,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES MULAR,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES BUFALINA,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES CUNICOLA,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES CUYICOLA,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES OVINA,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES CAPRINA,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES OTROS
Palestina,2012,2.700,783.000,25.000,6.250,"4,00",23.000,37.950,150,6.000,9.000,810,5,200,2,70,350,0,45,
Saladoblanco,2012,1.000,290.000,8.500,2.125,"4,00",7.820,12.903,25,1.000,10.000,1.120,18,270,0,78,320,0,0,
San Agustín,2012,3.850,1.116.500,70.000,17.500,"4,00",64.400,106.260,1.380,55.200,10.000,2.080,18,160,10,4500,28000,150,60,
Timaná,2012,6.000,1.740.000,75.000,18.750,"4,00",69.000,113.850,1.050,42.000,10.000,2.350,38,165,0,150,100,30,25,
Neiva,2013,305.000,88.450.000,880.000,146.667,"6,00",792.000,1.306.800,550,16.500,15.000,3.450,710,2.450,127,300,200,1.700,1.800,
Aipe,2013,2.100,609.000,330.000,73.333,"4,50",297.000,490.050,205,3.075,18.000,1.425,550,412,22,0,0,210,110,
Algeciras,2013,9.000,2.610.000,12.000,3.000,"4,00",11.040,18.216,800,22.400,16.000,600,20,180,14,80,50,100,0,
Baraya,2013,5.000,1.450.000,10.200,3.400,"3,00",9.180,15.147,0,0,,1.180,345,180,89,0,0,4.350,3.985,
Campoalegre,2013,21.000,6.090.000,56.000,14.000,"4,00",50.400,83.160,45,1.350,20.000,1.983,84,450,48,0,0,56,76,
Colombia,2013,3.000,870.000,7.200,1.800,"4,00",6.480,10.692,80,1.200,16.000,4.200,1.200,2.800,178,0,0,2.500,3.200,
Hobo,2013,3.400,986.000,27.000,6.750,"4,00",24.300,40.095,0,,,355,75,285,12,200,180,650,850,
Iquira,2013,4.100,1.189.000,16.000,4.000,"4,00",14.720,24.288,20,200,15.000,2.500,400,200,20,60,50,50,45,
Palermo,2013,210.000,60.900.000,635.000,105.833,"6,00",571.500,942.975,150,2.700,8.000,2.000,300,250,54,150,50,40,50,
Rivera,2013,312.000,90.480.000,470.000,78.333,"6,00",423.000,697.950,0,,,118,306,267,39,0,120,100,120,
Santa Maria,2013,3.000,870.000,20.000,6.667,"3,00",18.400,30.360,150,6.000,18.000,350,40,60,16,200,150,400,100,
