MUNICIPIOS,VIGENCIA,PRODUCCION EN JAULAS Y JAULONES TILAPIA PESO DE LA COSECHA Kg,PRODUCCION EN JAULAS Y JAULONES TILAPIA No. ALEVINOS S,PRODUCCION EN JAULAS Y JAULONES TILAPIA No. ALEVINOS C,PRODUCCION EN JAULAS Y JAULONES TILAPIA PESO PROM UNIDAD (Gs),PRODUCCIÒN EN ESTANQUES TILAPIA ROJA PESO DE LA COSECHA Kg,PRODUCCIÒN EN ESTANQUES TILAPIA ROJA No. ALEVINOS S,PRODUCCIÒN EN ESTANQUES TILAPIA ROJA No. ALEVINOS C,PRODUCCIÒN EN ESTANQUES TILAPIA ROJA PESO PROM UNIDAD (Gs),PRODUCCIÒN EN ESTANQUES CACHAMA PESO DE LA COSECHA Kg,PRODUCCIÒN EN ESTANQUES CACHAMA No. ALEVINOS S,PRODUCCIÒN EN ESTANQUES CACHAMA No. ALEVINOS C,PRODUCCIÒN EN ESTANQUES CACHAMA PESO PROM UNIDAD (Gs),PRODUCCIÒN EN ESTANQUES CARPA No. ALEVINOS PRODUCCIÒN EN ESTANQUES CARPA PESO DE LA COSECHA Kg,PRODUCCIÒN EN ESTANQUES CARPA No. ALEVINOS S,PRODUCCIÒN EN ESTANQUES CARPA No. ALEVINOS C,PRODUCCIÒN EN ESTANQUES CARPA PESO PROM UNIDAD (Gs),PRODUCCIÓN EN ESTANQUES TRUCHA PESO DE LA COSECHA Kg,PRODUCCIÓN EN ESTANQUES TRUCHA No. ALEVINOS S,PRODUCCIÓN EN ESTANQUES TRUCHA No. ALEVINOS C,PRODUCCIÓN EN ESTANQUES TRUCHA PESO PROM UNIDAD (Gs),PRODUCCIÓN EN ESTANQUES MOJARRA PLATEADA PESO DE LA COSECHA Kg,PRODUCCIÓN EN ESTANQUES MOJARRA PLATEADA No. ALEVINOS S,PRODUCCIÓN EN ESTANQUES MOJARRA PLATEADA No. ALEVINOS C,PRODUCCIÓN EN ESTANQUES MOJARRA PLATEADA PESO PROM UNIDAD (Gs),PRODUCCIÓN EN ESTANQUES BOCACHICO PESO DE LA COSECHA Kg,PRODUCCIÓN EN ESTANQUES BOCACHICO No. ALEVINOS S,PRODUCCIÓN EN ESTANQUES BOCACHICO No. ALEVINOS C,PRODUCCIÓN EN ESTANQUES BOCACHICO PESO PROM UNIDAD (Gs),PRODUCCIÓN EN ESTANQUES SABALO PESO DE LA COSECHA Kg,PRODUCCIÓN EN ESTANQUES SABALO No. ALEVINOS S,PRODUCCIÓN EN ESTANQUES SABALO No. ALEVINOS C,PRODUCCIÓN EN ESTANQUES SABALO PESO PROM UNIDAD (Gs),PRODUCCIÒN TOTAL PESO DE LA COSECHA Kg,PRODUCCIÒN TOTAL No. ALEVINOS S,PRODUCCIÒN TOTAL No. ALEVINOS C
La Argentina,2012,0,0,0,0,30.000,88.000,82.000,366,4.332,10.000,9.300,466,1.400,3.000,2.800,500,5.350,22.000,21.400,250,1.115,4.000,3.300,338,0,0,0,0,700,1.500,1.380,507,42.897,128.500,120.180
Nátaga,2012,0,0,0,0,3.430,11.000,9.800,350,1.700,5.600,4.280,397,181,500,430,421,0,0,0,0,632,2.000,1.580,400,0,0,0,0,2.488,7.000,6.380,390,8.431,26.100,22.470
Paicol,2012,0,0,0,0,23.931,79.000,72.000,332,3.500,8.950,8.324,420,1.200,2.000,1.860,645,0,0,0,0,0,0,0,0,0,0,0,0,500,1.500,1.380,362,29.131,91.450,83.564
Tesalia,2012,0,0,0,0,7.200,13.500,12.500,576,2.250,2.600,2.500,900,960,1.000,960,1000,0,0,0,0,0,0,0,0,0,0,0,0,1.000,1.100,1.000,1000,11.410,18.200,16.960
Garzón,2012,0,0,0,0,1.256.640,4.200.000,3.570.000,352,117.405,265.000,246.450,476,0,0,0,0,7.500,25.000,22.500,333,0,0,0,0,59.750,150.000,138.000,433,14.115,32.000,29.440,479,1.455.410,4.672.000,4.006.390
Agrado,2012,0,0,0,0,18.500,60.000,51.000,363,89.705,175.000,162.750,551,0,0,0,0,0,0,0,0,6.800,15.000,13.800,493,0,0,0,0,635,1.500,1.380,460,115.640,251.500,228.930
Altamira,2012,0,0,0,0,702,1.500,1.300,540,900,1.800,1.500,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.602,3.300,2.800
Gigante,2012,0,0,0,0,29.050,85.000,83.000,350,150.000,350.000,300.000,500,375,800,750,500,0,0,0,0,132,400,385,343,5.400,20.000,18.000,300,40.725,96.900,93.070,438,225.682,553.100,495.205
Guadalupe,2012,0,0,0,0,12.000,35.000,24.000,500,10.950,20.000,18.250,600,0,0,0,0,0,0,0,0,7.200,18.000,12.000,600,288,400,360,800,2.240,3.000,2.800,800,32.678,76.400,57.410
Pital,2012,0,0,0,0,12.500,38.000,34.200,365,3.055,8.200,7.626,401,0,0,0,0,0,0,0,0,4.200,12.500,11.500,365,0,0,0,0,0,0,0,0,19.755,58.700,53.326
Suaza,2012,0,0,0,0,17.952,60.000,52.800,340,9.504,24.000,21.120,450,408,1.000,850,480,3.675,12.000,10.500,350,0,0,0,0,0,0,0,0,1.150,3.000,2.760,417,32.689,100.000,88.030
Tarqui,2012,0,0,0,0,4.750,10.000,9.500,500,1.188,2.500,2.375,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,905,2.500,2.300,393,6.843,15.000,14.175
