CODIGO DANE,MUNICIPIOS,ENTIDAD ADIMINSTRADORA,Total Suscriptores,Residencial Suscriptores,B A S U R A S  Capacidad   del vehiculo M3,Kgs/día B A S U R A S  Producida,P.P.C.  Kgs/día B A S U R A S  Producida,Kgs/día Recolectada B A S U R A S ,Cobertura % Recolectada B A S U R A S 
41013,Agrado,Aguas y Aseo de El Pital y Agrado S.A. E.S.P.,2.042,1991,"12,00",2166,"0,4",2166,98
41078,Baraya,EMPUBARAYA,1.100,1055,"6,50","0,21",,"0,21",96
41132,Campoalegre,,,,,,,,
41206,Colombia,,,,,,,,
41298,Garzón,,,,,,,,
41306,Gigante,EMPUGIGANTE S.A. ESP,4.437,3224,"16,00","7867,1","0,89","7867,1","99,09"
41319,Guadalupe,,,,,,,,
41349,Hobo,EMUSERHOBO S.A. E.S.P.,2.005,1952,"7,00","0,58","0,58","0,58",99
41483,Nátaga,Alcaldía municipal,634,634,"6,00",4729,,4729,90
41518,Paicol,Aguas del Huila S.A.  E.S.P.,934,868,"14,00",1660,"0,44",1660,98
41660,Saladoblanco,EMSEPUSA,580,562,"7,00","1,2","0,61","3,5",90
41668,San Agustín,Empresas Públicas de San Agustín ESP,3.078,2692,"19,00",6298,"0,79","6,94","98,7"
41770,Suaza,EMPUSUAZA,2.187,2014,"6,00",4659,,4659,80
41791,Tarqui,Aguas del Huila S.A.  E.S.P.,1.727,1637,"14,00",2584,"0,43",2584,"95,24"
41801,Teruel,EMPTERUEL,1.416,1213,"10,00",1866,"1,98",1866,99
41807,Timaná,EMPTIMANA,2.342,2238,"2.000,00","4722,1","0,42","4722,1",87
41872,Villavieja,Empresas Públicas de Villavieja,819,801,"7,00","779,14",,"779,14",99
41006,Acevedo,EMPACEVEDO,1.860,1371,"10,00",4840,,4840,97
41016,Aipe,,,,,,,,
41078,Baraya,EMPUBARAYA,1.180,1125,"8,00",2033,,2033,96
41132,Campoalegre,,,,,,,,
41206,Colombia,,,,,,,,
41306,Gigante,,,,,,,,
41357,Iquira,Empresas Públicas de Iquira,1.171,1087,"6,00",8,"8,14",8,99
41483,Nátaga,Alcaldía municipal,634,634,"6,00",4729,,4729,90
41503,Oporapa,Alcaldía municipal,517,517,"10,00",733,"0,3",733,80
41551,Pitalito,,,,,,,,
41660,Saladoblanco,EMSEPUSA,539,,"6,50",1114,"0,61",1114,90
41668,San Agustín,,,,,,,,
41676,Santa María,,,,,,,,
41770,Suaza,EMPUSUAZA,2.404,1999,"8,00",373,,293,78
41791,Tarqui,Aguas del Huila S.A.  E.S.P.,1.559,1475,"14,00",2584,"0,43",2584,"95,24"
41807,Timaná,,,,,,,,
41885,Yaguará,Empresas Públicas AAA de Yaguará S.A. E.S.P.,1.979,1940,"13,00",2833,"0,52",1833,97
41244,Colombia,Aguas del Huila S.A.  E.S.P.,748,691,"8,00","1090,32","0,36","1090,32",98
41359,Iquira,Empresas Públicas de Iquira,1.154,964,"6,00",1516,"0,4",1487,"98,1"
41483,La Plata,Emserpla E.S.P.,7.124,6616,"21,41",15786,"0,4",15786,0
41791,Tarqui,Aguas del Huila S.A.  E.S.P.,1.502,1418,"0,00",2443,"0,36",2443,"93,8"
41885,Yaguará,Empresas Públicas AAA de Yaguará S.A. E.S.P.,2.110,2072,10 Ton,"2,83","0,52","2,83",97
41016,Agrado,Aguas y Aseo de El Pital y Agrado S.A. E.S.P.,1.673,1620,"18,00",2000,"0,4",2000,98
41020,Aipe,Empresas Públicas de Aipe  E.S.P.,2.785,2686,"18,00",5873,"2,11",5873,99
41298,Elías,Alcaldía municipal,337,337,"7,00",214,"0,6",1500,85
41357,Hobo,EMUSERHOBO S.A. E.S.P.,1.693,1642,"5,00",3500,"12,94",3200,94
41359,Iquira,Empresas Públicas de Iquira,1.138,1061,"5,30",1664,"0,3",1619,"97,3"
41503,Oporapa,Alcaldía municipal,477,477,"6,00",150,"0,92",143,95
41615,Rivera,Empresa de Servicios Públicos de Rivera,3.429,3352,"3,45",640,"0,04",19210,"99,5"
41668,San Agustín,San Agustín E.S.P.,2.609,2256,"25,00",7000,"0,58",7000,97
41791,Tarqui,Aguas del Huila S.A.  E.S.P.,1.399,1322,"7,50",2700,"0,46",2600,96
41020,Aipe,Empresas Públicas de Aipe  E.S.P.,2.745,2745,"24,46","0,44","0,7",7000,98
41206,Campoalegre,EMAC S.A. E.S.P.,6.429,6282,"25,00",13633,"0,42",13633,99
41306,Garzón,EMPUGAR,10.236,9553,"42,34",22657,"0,49",22657,"96,78"
41668,San Agustín,San Agustín E.S.P.,2.520,2156,"12,00",6642,"0,66",6500,98
41791,Tarqui,Aguas del Huila S.A.  E.S.P.,1.331,1254,"8,00",2279,"0,42",2279,93
41797,Tesalia,EMPTESALIA S.A. E.S.P.,2.180,2060,"6,00",39,"0,29",42165,99
41020,Algeciras,EMSERAL S.A. E.S.P.,3.368,3133,"12,00",6780,50,6780,100
41026,Altamira,EMSERALTAMIRA,1.007,972,"16,00",2216,"0,55",2216,100
41078,Baraya,EMPUBARAYA,1.218,1164,"4,50",2466,"0,53",2466,100
41298,Garzón,EMPUGAR E.S.P.,13.120,12337,"57,34",33770,"0,57",33770,100
41319,Guadalupe,"Empresa de acued., alcant. y aseo de Guadalupe",1.648,1585,"15,00",3700,,3700,100
41357,Iquira,Empresas Públicas de Iquira,1.178,1143,"6,00",1590,,1590,100
41359,Isnos,Aguas y Aseo del Macizo S.A.S.,1.669,1453,"18,00",15000,"0,45",15000,100
41378,La Argentina,Empuarg S.A ESP,1.586,1567,"6,00",1000,"0,2",1000,100
41001,Neiva,Ciudad Limpia Neiva,128.840,119034,"14,50","279,9","0,79",274900,100
41503,Oporapa,Alcaldía municipal,564,559,"3,50",833,"1,1",833,100
41524,Palermo,Empresas públicas de Palermo,5.854,5667,"6,70",11479,"0,18",11479,100
41530,Palestina,Alcaldía municipal,580,484,"5,00","1,23","0,63","1,23",100
41548,El Pital,Aguas y Aseo de El Pital y Agrado S.A. E.S.P.,1.638,1638,"18,00",3100,"0,5",3100,100
41551,Pitalito,EMPITALITO,23.863,21488,"12,20","53,87","0,69","53,87",100
41660,Saladoblanco,EMSEPUSA,766,766,"65,00",1991,"0,61",1991,100
41799,Tello,Empresas Públicas de Tello,1.760,1747,"6,12","4352,64","0,64",4352,100
41801,Teruel,EMPTERUEL,1.435,1410,"11,50","735,83","0,51","735,83",100
41797,Tesalia,EMPTESALIA S.A. E.S.P.,2.404,2339,"16,20",4,"0,57","3,8",100
41807,Timaná,EMPTIMANA,2.358,2252,"10,00",10830,,10830,100
41872,Villavieja,Empresas Públicas de Villavieja,893,846,"7,00",,,,100
41885,Yaguará,Empresas Públicas AAA de Yaguará S.A. E.S.P.,2.165,2125,"12,00",4533,"2,13",4533,100
41006,Acevedo,EMPACEVEDO,bfrrwrehgrhythgygu,2939,"8,30","2,5","0,72","2,5",100
41016,Aipe,Empresas Públicas de Aipe,2.757,2656,"35,50",12300,,12300,100
41020,Algeciras,EMSERAL S.A. E.S.P.,3.156,2932,"12,00",6420,"0,51",6420,100
41026,Altamira,EMSERALTAMIRA,960,934,"20,00",19000,,19000,100
41548,El Pital,Aguas y Aseo de El Pital y Agrado S.A. E.S.P.,1.464,1347,"18,00",1778,"0,5",1778,100
41244,Elías,Unidad de Servicios Públicos de Elías,567,567,"4,00",2000,2000,2000,100
41357,Iquira,Empresas Públicas de Iquira,1.157,1135,"6,00",1441,,1441,100
41359,Isnos,Aguas y Aseo del Macizo S.A.S.,1.557,1341,"9,00",8000,"5,3",8000,100
41378,La Argentina,Empuarg S.A ESP,1.586,1567,"6,00",1000,"0,2",1000,100
41396,La Plata,Emserpla E.S.P.,7.742,7204,"21,41","15,39","0,39",15387,100
41001,Neiva,Ciudad Limpia Neiva,119.203,109966,"14,50",275,"0,75",320,100
41503,Oporapa,Alcaldía municipal,569,458,"6,00",750,"0,3",750,100
41524,Palermo,Empresas públicas de Palermo,5.741,5558,"8,00",11430,"0,64",11430,100
41530,Palestina,Alcaldía municipal,580,484,"5,00",1147,"0,63",1147,100
41551,Pitalito,EMPITALITO,24.723,22364,"12,00","19921,61","0,65",19921,100
41615,Rivera,Empresa de Servicios Públicos de Rivera,4.422,4325,"31,50",13026,"0,61",13026,100
41676,Santa María,Orquidea de Oro,1.196,,"9,00",1823,,,100
41799,Tello,Empresas Públicas de Tello,1.747,1747,"12,00",4120,"0,17",4120,100
41797,Tesalia,EMPTESALIA S.A. E.S.P.,2.383,2317,"10,00",3640,"0,38",3640,100
41885,Yaguará,Empresas Públicas AAA de Yaguará S.A. E.S.P.,2.147,2108,"10,00",4533,"2,11",4533,100
41013,Agrado,Aguas y Aseo de El Pital y Agrado S.A. E.S.P.,1.915,1914,"12,00",1538,"0,5",1538,100
41020,Algeciras,EMSERAL S.A. E.S.P.,2.951,2887,"12,00","5,76","0,39",8591,100
41244,Elías,Unidad de Servicios Públicos de Elías,616,594,"4,00",2000,2000,2000,100
41298,Garzón,EMPUGAR,11.960,11243,"80,28",29779,"0,49",29779,100
41319,Guadalupe,EMPUG S.A ESP,1.622,1560,"12,23",7000,8500,8500,100
41349,Hobo,EMUSERHOBO S.A. E.S.P.,1.921,1869,"7,00","0,48","0,48","0,48",100
41359,Isnos,Aguas y Aseo del Macizo S.A.S.,1.476,1292,"10,00",9485,"6,42",9485,100
41378,La Argentina,Empuarg S.A ESP,1.573,1554,"6,00",1000,"0,2",1000,100
41396,La Plata,Emserpla E.S.P.,7.442,6917,"21,41",15,"0,39",15387,100
41001,Neiva,Ciudad Limpia Neiva,108.621,100307,"29,00",290000,"0,7",290,100
41518,Paicol,Aguas del Huila S.A.  E.S.P.,920,859,"14,00",1529,"0,42",1529,100
41524,Palermo,Empresas públicas de Palermo,5.521,5170,"8,00",11670,"0,73",11670,100
41530,Palestina,Alcaldía municipal,580,484,"5,00",1147,,1147,100
41548,Pital,Aguas y Aseo de El Pital y Agrado S.A. E.S.P.,1.464,1347,"18,00",1778,"0,5",1778,100
41615,Rivera,Empresa de Servicios Públicos de Rivera,3.556,3499,"10,00","12,31","0,55","12,31",100
41799,Tello,Empresas Públicas de Tello,1.747,1747,"10,00",3920,"0,52",3920,100
41801,Teruel,EMPTERUEL,1.410,1385,"10,00",1866,"1,98",1866,100
41797,Tesalia,EMPTESALIA S.A. E.S.P.,2.298,2235,"20,00",3355,"0,29",3350,100
41872,Villavieja,Empresas Públicas de Villavieja,819,805,"7,00",1592,"0,63",1592,100
41016,Agrado,Aguas y Aseo de El Pital y Agrado S.A. E.S.P.,1.900,1853,"18,00",2000,"0,5",2000,100
41306,Garzón,EMPUGAR,11.616,10893,"80,28",29779,"0,49",29779,100
41524,Palermo,EPP E.S.P,4.640,4414,"12,99",3460,"0,73",3460,100
41548,Pital,Aguas y Aseo de El Pital y Agrado S.A. E.S.P.,1.443,1302,"18,00",2000,"0,5",2000,100
41799,Tello,Empresas publicas de Tello,1.515,1486,"8,00","2,59","0,52","3,92",100
41801,Teruel,EMPTERUEL,1.365,1342,"8,22",2000,"2,59",2000,100
41078,Altamira,EMSER ALTAMIRA E.S.P.,845,816,"10,00",1764,"0,47",1764,100
41206,Campoalegre,EMAC S.A. E.S.P.,6.614,6466,"20,00",18000,"2,72",18000,100
41306,Garzón,EMPUGAR,11.149,10440,"42,34",25897,"0,49",25897,100
41378,Isnos,Aguas y Aseo Macizo,1.473,1236,"12,23",2900,"0,52",3100,100
41518,Paicol,Aguas del Huila S.A.  E.S.P.,873,811,"14,00",1904,"0,59",1904,100
41524,Palermo,EPP E.S.P,0,3277,"6,00",12752,"1,75",12752,100
41548,Pital,Aguas y Aseo de El Pital y Agrado S.A. E.S.P.,1.393,1268,"12,00",2350,"0,47",2350,100
41799,Tello,Empresas publicas de Tello,1.475,1444,"6,00",3934,"0,64",3934,100
41801,Teruel,EMPTERUEL,1.314,1293,"8,22",2000,"2,59",2000,100
41078,Altamira,EMSER ALTAMIRA E.S.P.,860,831,"10,00",1614,"0,33",1614,100
41319,Gigante,EMPUGIGANTE,2.969,2762,"14,14",7794,"0,65",7794,100
41483,La Plata,EMSERPLA ESP,6.530,6066,"21,41",13350,"0,55",13350,100
41548,Pital,Aguas y Aseo de El Pital y Agrado S.A. E.S.P.,1.380,1380,"20,00",2266,"0,42",2266,100
41799,Tello,Empresas publicas de Tello,1.455,1455,"8,00",3644,"0,57",3644,100
41801,Teruel,EMPTERUEL,1.249,1227,"8,22",2000,"2,59",2000,100
