DANE,Municipio,Vigencia,Grupo dotaciones,MDM 2016,CALIFICACION
41026,ALTAMIRA,2017,G2,"56,18186072",Alto
41615,RIVERA,2017,G2,"61,48363189",Alto
41306,GIGANTE,2017,G2,"66,27120433",Alto
41001,NEIVA,2017,G1,"61,11118763",Alto
41551,PITALITO,2017,G2,"61,11935176",Alto
41885,YAGUARÁ,2017,G1,"63,67838694",Alto
41524,PALERMO,2017,G1,"58,55575629",Alto
41206,COLOMBIA,2018,G5,"43,83566803",Bajo
41797,TESALIA,2018,G1,"57,87569423",Alto
41396,LA PLATA,2018,G4,"56,34216722",Alto
41026,ALTAMIRA,2018,G2,"56,38217299",Alto
41770,SUAZA,2018,G4,"40,56806145",Bajo
41483,NÁTAGA,2018,G4,"57,96530382",Alto
41306,GIGANTE,2018,G2,"37,79715024",Bajo
41001,NEIVA,2018,G1,"62,55923019",Alto
41551,PITALITO,2018,G2,"58,70393847",Alto
41885,YAGUARÁ,2018,G1,"62,95366502",Alto
41524,PALERMO,2018,G1,"59,00228571",Alto
41791,TARQUI,2019,G5,"55,07128325",Alto
41668,SAN AGUSTÍN,2019,G4,"55,49213524",Alto
41013,AGRADO,2019,G3,"55,98143509",Alto
41006,ACEVEDO,2019,G5,"56,10915508",Alto
41359,ISNOS,2019,G5,"56,13036857",Alto
41530,PALESTINA,2019,G5,"56,41070562",Alto
41799,TELLO,2019,G3,"56,84732898",Alto
41518,PAICOL,2019,G2,"57,10209217",Alto
41020,ALGECIRAS,2019,G4,"57,14029834",Alto
41872,VILLAVIEJA,2019,G3,"57,21678197",Alto
41797,TESALIA,2019,G1,"57,260887",Alto
41378,LA ARGENTINA,2019,G5,"57,30529281",Alto
41349,HOBO,2019,G3,"57,54902074",Alto
41807,TIMANÁ,2019,G4,"58,03179792",Alto
41132,CAMPOALEGRE,2019,G2,"58,2050104",Alto
41396,LA PLATA,2019,G4,"58,49990424",Alto
41078,BARAYA,2019,G3,"59,20227687",Alto
41026,ALTAMIRA,2019,G2,"60,0843607",Alto
41244,ELÍAS,2019,G4,"60,4258599",Alto
41770,SUAZA,2019,G4,"60,55992986",Alto
41319,GUADALUPE,2019,G5,"60,58264764",Alto
41483,NÁTAGA,2019,G4,"60,59077305",Alto
41298,GARZÓN,2019,G3,"61,66679194",Alto
41016,AIPE,2019,G2,"61,8712653",Alto
41615,RIVERA,2019,G2,"61,94923713",Alto
41306,GIGANTE,2019,G2,"62,42626661",Alto
41001,NEIVA,2019,G1,"64,24999079",Alto
41551,PITALITO,2019,G2,"64,94521633",Alto
41885,YAGUARÁ,2019,G1,"66,19578261",Alto
41524,PALERMO,2019,G1,"67,01279349",Alto
