Código DANE,Municipio,Categoría,Límite %,VIGENCIA,INDICADOR,Estado del indicador
41660,Saladoblanco,6,"0,8",2018,"0,6647",Cumple
41668,San Agustín,6,"0,8",2018,"0,6195",Cumple
41676,Santa María,6,"0,8",2018,"0,6435",Cumple
41770,Suaza,6,"0,8",2018,"0,3115",Cumple
41791,Tarqui,6,"0,8",2018,"0,7494",Cumple
41797,Tesalia,6,"0,8",2018,"0,4462",Cumple
41799,Tello,6,"0,8",2018,"0,6253",Cumple
41801,Teruel,6,"0,8",2018,"0,5919",Cumple
41807,Timaná,6,"0,8",2018,"0,4693",Cumple
41872,Villavieja,6,"0,8",2018,"0,5125",Cumple
41885,Yaguará,6,"0,8",2018,"0,6511",Cumple
41006,Acevedo,6,"0,8",2019,"0,5016",Cumple
41013,Agrado,6,"0,8",2019,"0,4841",Cumple
41016,Aipe,6,"0,8",2019,"0,6973",Cumple
41020,Algeciras,6,"0,8",2019,"0,5841",Cumple
41026,Altamira,6,"0,8",2019,"0,4560",Cumple
41078,Baraya,6,"0,8",2019,"0,6517",Cumple
41132,Campoalegre,6,"0,8",2019,"0,6300",Cumple
41206,Colombia,6,"0,8",2019,"0,4362",Cumple
41244,Elías,6,"0,8",2019,"0,4111",Cumple
41298,Garzón,6,"0,8",2019,"0,7172",Cumple
41306,Gigante,6,"0,8",2019,"0,5167",Cumple
41319,Guadalupe,6,"0,8",2019,"0,4969",Cumple
41349,Hobo,6,"0,8",2019,"0,3980",Cumple
41357,Íquira,6,"0,8",2019,"0,5579",Cumple
41359,Isnos,6,"0,8",2019,"0,6509",Cumple
41378,La Argentina,6,"0,8",2019,"0,5848",Cumple
41396,La Plata,6,"0,8",2019,"0,4885",Cumple
41483,Nátaga,6,"0,8",2019,"0,4935",Cumple
41503,Oporapa,6,"0,8",2019,"0,4560",Cumple
41518,Paicol,6,"0,8",2019,"0,4346",Cumple
41524,Palermo,6,"0,8",2019,"0,2909",Cumple
41530,Palestina,6,"0,8",2019,"0,4882",Cumple
41548,Pital,6,"0,8",2019,"0,6153",Cumple
41615,Rivera,6,"0,8",2019,"0,5410",Cumple
41660,Saladoblanco,6,"0,8",2019,"0,5819",Cumple
41668,San Agustín,6,"0,8",2019,"0,5763",Cumple
41676,Santa María,6,"0,8",2019,"0,7390",Cumple
41770,Suaza,6,"0,8",2019,"0,3264",Cumple
41791,Tarqui,6,"0,8",2019,"0,5945",Cumple
41797,Tesalia,6,"0,8",2019,"0,5177",Cumple
41799,Tello,6,"0,8",2019,"0,5673",Cumple
41801,Teruel,6,"0,8",2019,"0,6069",Cumple
41807,Timaná,6,"0,8",2019,"0,4673",Cumple
41872,Villavieja,6,"0,8",2019,"0,4354",Cumple
41885,Yaguará,6,"0,8",2019,"0,6543",Cumple
41006,Acevedo,6,"0,8",2020,"0,4231",Cumple
41013,Agrado,6,"0,8",2020,"0,4602",Cumple
41016,Aipe,6,"0,8",2020,"0,6641",Cumple
41020,Algeciras,6,"0,8",2020,"0,5528",Cumple
41026,Altamira,6,"0,8",2020,"0,4522",Cumple
41078,Baraya,6,"0,8",2020,"0,5185",Cumple
41132,Campoalegre,6,"0,8",2020,"0,6427",Cumple
41206,Colombia,6,"0,8",2020,"0,3957",Cumple
41244,Elías,6,"0,8",2020,"0,4861",Cumple
41298,Garzón,6,"0,8",2020,"0,6588",Cumple
41306,Gigante,6,"0,8",2020,"0,4534",Cumple
41319,Guadalupe,6,"0,8",2020,"0,4184",Cumple
41349,Hobo,6,"0,8",2020,"0,3983",Cumple
41357,Íquira,6,"0,8",2020,"0,5168",Cumple
41359,Isnos,6,"0,8",2020,"0,4170",Cumple
41378,La Argentina,6,"0,8",2020,"0,6301",Cumple
41396,La Plata,6,"0,8",2020,"0,4848",Cumple
41483,Nátaga,6,"0,8",2020,"0,5192",Cumple
41503,Oporapa,6,"0,8",2020,"0,5253",Cumple
41518,Paicol,6,"0,8",2020,"0,4776",Cumple
41524,Palermo,6,"0,8",2020,"0,2980",Cumple
41530,Palestina,6,"0,8",2020,"0,5654",Cumple
41548,Pital,6,"0,8",2020,"0,5106",Cumple
41615,Rivera,6,"0,8",2020,"0,4532",Cumple
41660,Saladoblanco,6,"0,8",2020,"0,6538",Cumple
41668,San Agustín,6,"0,8",2020,"0,5773",Cumple
41676,Santa María,6,"0,8",2020,"0,6571",Cumple
41770,Suaza,6,"0,8",2020,"0,3267",Cumple
41791,Tarqui,6,"0,8",2020,"0,5996",Cumple
41797,Tesalia,6,"0,8",2020,"0,4752",Cumple
41799,Tello,6,"0,8",2020,"0,6763",Cumple
41801,Teruel,6,"0,8",2020,"0,6152",Cumple
41807,Timaná,6,"0,8",2020,"0,5022",Cumple
41872,Villavieja,6,"0,8",2020,"0,5485",Cumple
41885,Yaguará,6,"0,8",2020,"0,5691",Cumple
41016,Aipe,6,"0,8",2017,"0,8100",No Cumple
41001,Neiva,1,"0,65",2016,"0,5443",Cumple
41551,Pitalito,4,"0,8",2016,"0,3873",Cumple
41001,Neiva,1,"0,65",2017,"0,5617",Cumple
41551,Pitalito,4,"0,8",2017,"0,4925",Cumple
41001,Neiva,1,"0,65",2018,"0,5661",Cumple
41551,Pitalito,4,"0,8",2018,"0,5353",Cumple
41001,Neiva,1,"0,65",2019,"0,5724",Cumple
41551,Pitalito,4,"0,8",2019,"0,5207",Cumple
41001,Neiva,1,"0,65",2020,"0,6270",Cumple
41551,Pitalito,4,"0,8",2020,"0,5902",Cumple
