DANE,MUNICIPIO,VIGENCIA,INDICADOR,CALIFICACIÓN
41006,ACEVEDO,2020,"0,8286",Incumplimiento bajo
41013,AGRADO,2020,"0,8687",Incumplimiento bajo
41020,ALGECIRAS,2020,"0,8257",Incumplimiento bajo
41026,ALTAMIRA,2020,"0,8464",Incumplimiento bajo
41078,BARAYA,2020,"0,9447",Incumplimiento bajo
41132,CAMPOALEGRE,2020,"0,9195",Incumplimiento bajo
41244,ELÍAS,2020,"0,8542",Incumplimiento bajo
41298,GARZÓN,2020,"0,9482",Incumplimiento bajo
41306,GIGANTE,2020,"0,8719",Incumplimiento bajo
41319,GUADALUPE,2020,"0,9455",Incumplimiento bajo
41349,HOBO,2020,"0,9449",Incumplimiento bajo
41359,ISNOS,2020,"0,8910",Incumplimiento bajo
41378,LA ARGENTINA,2020,"0,9455",Incumplimiento bajo
41396,LA PLATA,2020,"0,9349",Incumplimiento bajo
41503,OPORAPA,2020,"0,9171",Incumplimiento bajo
41518,PAICOL,2020,"0,9405",Incumplimiento bajo
41524,PALERMO,2020,"0,9067",Incumplimiento bajo
41530,PALESTINA,2020,"0,9426",Incumplimiento bajo
41615,RIVERA,2020,"0,8818",Incumplimiento bajo
41660,SALADOBLANCO,2020,"0,9033",Incumplimiento bajo
41676,SANTA MARÍA,2020,"0,8612",Incumplimiento bajo
41770,SUAZA,2020,"0,8984",Incumplimiento bajo
41791,TARQUI,2020,"0,9320",Incumplimiento bajo
41797,TESALIA,2020,"0,9443",Incumplimiento bajo
41799,TELLO,2020,"0,8847",Incumplimiento bajo
41872,VILLA VIEJA,2020,"0,8724",Incumplimiento bajo
41885,YAGUARÁ,2020,"0,8706",Incumplimiento bajo
41001,NEIVA,2019,"0,9054",Incumplimiento bajo
41006,ACEVEDO,2019,"0,9272",Incumplimiento bajo
41013,AGRADO,2019,"0,9125",Incumplimiento bajo
41244,ELÍAS,2019,"0,8449",Incumplimiento bajo
41306,GIGANTE,2019,"0,8193",Incumplimiento bajo
41319,GUADALUPE,2019,"0,9424",Incumplimiento bajo
41349,HOBO,2019,"0,9499",Incumplimiento bajo
41357,ÍQUIRA,2019,"0,8953",Incumplimiento bajo
41359,ISNOS,2019,"0,9488",Incumplimiento bajo
41483,NÁTAGA,2019,"0,9484",Incumplimiento bajo
41530,PALESTINA,2019,"0,9276",Incumplimiento bajo
41548,PITAL,2019,"0,9314",Incumplimiento bajo
41615,RIVERA,2019,"0,8728",Incumplimiento bajo
41872,VILLA VIEJA,2019,"0,9277",Incumplimiento bajo
41013,AGRADO,2018,"0,8327",Incumplimiento bajo
41016,AIPE,2018,"0,8259",Incumplimiento bajo
41020,ALGECIRAS,2018,"0,9387",Incumplimiento bajo
41026,ALTAMIRA,2018,"0,8464",Incumplimiento bajo
41078,BARAYA,2018,"0,8376",Incumplimiento bajo
41206,COLOMBIA,2018,"0,9489",Incumplimiento bajo
41306,GIGANTE,2018,"0,8901",Incumplimiento bajo
41319,GUADALUPE,2018,"0,9415",Incumplimiento bajo
41349,HOBO,2018,"0,9372",Incumplimiento bajo
41357,ÍQUIRA,2018,"0,8717",Incumplimiento bajo
41359,ISNOS,2018,"0,9309",Incumplimiento bajo
41396,LA PLATA,2018,"0,9360",Incumplimiento bajo
41503,OPORAPA,2018,"0,9472",Incumplimiento bajo
41518,PAICOL,2018,"0,9076",Incumplimiento bajo
41524,PALERMO,2018,"0,9379",Incumplimiento bajo
41530,PALESTINA,2018,"0,9282",Incumplimiento bajo
41615,RIVERA,2018,"0,9372",Incumplimiento bajo
41676,SANTA MARÍA,2018,"0,9124",Incumplimiento bajo
41791,TARQUI,2018,"0,8148",Incumplimiento bajo
41801,TERUEL,2018,"0,8548",Incumplimiento bajo
41807,TIMANA,2018,"0,9279",Incumplimiento bajo
41872,VILLA VIEJA,2018,"0,8786",Incumplimiento bajo
41885,YAGUARÁ,2018,"0,9283",Incumplimiento bajo
41006,ACEVEDO,2017,"0,8506",Incumplimiento bajo
41013,AGRADO,2017,"0,9024",Incumplimiento bajo
41016,AIPE,2017,"0,8659",Incumplimiento bajo
41020,ALGECIRAS,2017,"0,9060",Incumplimiento bajo
41078,BARAYA,2017,"0,8081",Incumplimiento bajo
41132,CAMPOALEGRE,2017,"0,9330",Incumplimiento bajo
41298,GARZÓN,2017,"0,9445",Incumplimiento bajo
41306,GIGANTE,2017,"0,8051",Incumplimiento bajo
41319,GUADALUPE,2017,"0,8557",Incumplimiento bajo
41349,HOBO,2017,"0,8278",Incumplimiento bajo
41359,ISNOS,2017,"0,8998",Incumplimiento bajo
41378,LA ARGENTINA,2017,"0,8642",Incumplimiento bajo
41396,LA PLATA,2017,"0,9294",Incumplimiento bajo
41503,OPORAPA,2017,"0,8480",Incumplimiento bajo
41518,PAICOL,2017,"0,8123",Incumplimiento bajo
41524,PALERMO,2017,"0,8943",Incumplimiento bajo
41548,PITAL,2017,"0,8651",Incumplimiento bajo
41660,SALADOBLANCO,2017,"0,8930",Incumplimiento bajo
41668,SAN AGUSTÍN,2017,"0,9323",Incumplimiento bajo
41770,SUAZA,2017,"0,8379",Incumplimiento bajo
41791,TARQUI,2017,"0,8798",Incumplimiento bajo
41799,TELLO,2017,"0,8994",Incumplimiento bajo
41801,TERUEL,2017,"0,8557",Incumplimiento bajo
41807,TIMANA,2017,"0,8904",Incumplimiento bajo
41006,ACEVEDO,2016,"0,8366",Incumplimiento bajo
41013,AGRADO,2016,"0,8666",Incumplimiento bajo
41016,AIPE,2016,"0,8623",Incumplimiento bajo
41020,ALGECIRAS,2016,"0,9162",Incumplimiento bajo
41026,ALTAMIRA,2016,"0,8728",Incumplimiento bajo
41206,COLOMBIA,2016,"0,8823",Incumplimiento bajo
41306,GIGANTE,2016,"0,8450",Incumplimiento bajo
41319,GUADALUPE,2016,"0,9239",Incumplimiento bajo
41349,HOBO,2016,"0,9217",Incumplimiento bajo
41357,ÍQUIRA,2016,"0,8634",Incumplimiento bajo
41359,ISNOS,2016,"0,9030",Incumplimiento bajo
41483,NÁTAGA,2016,"0,8011",Incumplimiento bajo
41524,PALERMO,2016,"0,8692",Incumplimiento bajo
41530,PALESTINA,2016,"0,8872",Incumplimiento bajo
41551,PITALITO,2016,"0,9436",Incumplimiento bajo
