VIGENCIA,CODIGO DANE,MUNICIPIOS,CONSUMO DE ENERGIA Kwh,Valor
2015,41551,Pitalito,Residencial,34884509
2015,41615,Rivera,Residencial,9646001
2015,41660,Saladoblanco,Residencial,1842088
2015,41668,San Agustin,Residencial,5193571
2015,41676,Santa Maria,Residencial,2061068
2015,41770,Suaza,Residencial,4024178
2015,41791,Tarqui,Residencial,3717313
2015,41799,Tello,Residencial,2887226
2015,41801,Teruel,Residencial,2137438
2015,41797,Tesalia,Residencial,3272195
2015,41807,Timana,Residencial,4630378
2015,41872,Villavieja,Residencial,2321618
2015,41885,Yaguara,Residencial,4182762
2014,41001, NEIVA,Residencial,200977661
2014,41006, ACEVEDO,Residencial,4966693
2014,41013, AGRADO,Residencial,2073733
2014,41016, AIPE,Residencial,5327457
2014,41020, ALGECIRAS,Residencial,3878400
2014,41026, ALTAMIRA,Residencial,1310051
2014,41078, BARAYA,Residencial,1623030
2014,41132, CAMPOALEGRE,Residencial,10576197
2014,41206, COLOMBIA,Residencial,1192251
2014,41244,Elias,Residencial,731742
2014,41298,Garzon,Residencial,19090609
2014,41306, GIGANTE,Residencial,7058429
2014,41319, GUADALUPE,Residencial,3497647
2014,41349, HOBO,Residencial,2227513
2014,41357, IQUIRA,Residencial,1884518
2014,41359, ISNOS,Residencial,3696765
2014,41378, LA ARGENTINA,Residencial,1945481
2014,41396, LA PLATA,Residencial,11798266
2014,41483,Nataga,Residencial,847577
2014,41503, OPORAPA,Residencial,1905733
2014,41518, PAICOL,Residencial,1502500
2014,41524, PALERMO,Residencial,9195463
2014,41530, PALESTINA,Residencial,1428266
2014,41548, PITAL,Residencial,2715503
2014,41551, PITALITO,Residencial,32653739
2014,41615, RIVERA,Residencial,8243765
2014,41660,Saladoblanco,Residencial,1717699
2014,41668,San Agustin,Residencial,4902643
2014,41676,Santa Maria,Residencial,1973483
2014,41770, SUAZA,Residencial,3722921
2014,41791, TARQUI,Residencial,3507084
2014,41799, TELLO,Residencial,2648889
2014,41801, TERUEL,Residencial,1953171
2014,41797, TESALIA,Residencial,3102450
2014,41807,Timana,Residencial,4388405
2014,41872, VILLAVIEJA,Residencial,2090051
2014,41885,Yaguara,Residencial,3745834
2013,41001, NEIVA,Residencial,184240320
2013,41006, ACEVEDO,Residencial,5055589
2013,41013, AGRADO,Residencial,2053375
2013,41016, AIPE,Residencial,5140650
2013,41020, ALGECIRAS,Residencial,3874744
2013,41026, ALTAMIRA,Residencial,1256340
2013,41078, BARAYA,Residencial,1696937
2013,41132, CAMPOALEGRE,Residencial,10267511
2013,41206, COLOMBIA,Residencial,1175906
2013,41244, EL PITAL,Residencial,2710844
2013,41298,Elias,Residencial,738654
2013,41306,Garzon,Residencial,18559896
2013,41319, GIGANTE,Residencial,6863883
2013,41349, GUADALUPE,Residencial,3500090
2013,41357, HOBO,Residencial,2159740
2013,41359, IQUIRA,Residencial,1848124
2013,41378, ISNOS,Residencial,3653491
2013,41396, LA ARGENTINA,Residencial,1961884
2013,41483, LA PLATA,Residencial,11466410
2013,41503,Nataga,Residencial,861483
2013,41518, OPORAPA,Residencial,1862100
2013,41524, PAICOL,Residencial,1443898
2013,41530, PALERMO,Residencial,8878283
2013,41548, PALESTINA,Residencial,1490051
2013,41551, PITALITO,Residencial,31626994
2013,41615, RIVERA,Residencial,7696458
2013,41660,Saladoblanco,Residencial,1693703
2013,41668,San Agustin,Residencial,4839085
2013,41676,Santa Maria,Residencial,1876249
2013,41770, SUAZA,Residencial,3632193
2013,41791, TARQUI,Residencial,3521269
2013,41799, TELLO,Residencial,2606064
2013,41801, TERUEL,Residencial,1882460
2013,41797, TESALIA,Residencial,2975983
2013,41807,Timana,Residencial,4372544
2013,41872, VILLAVIEJA,Residencial,1979370
2013,41885,Yaguara,Residencial,3681839
2018,41001,Neiva,Comercial,83434683
2018,41006,Acevedo,Comercial,1429328
2018,41013,Agrado,Comercial,405512
2018,41016,Aipe,Comercial,1349519
2018,41020,Algeciras,Comercial,780778
2018,41026,Altamira,Comercial,247821
2018,41078,Baraya,Comercial,272721
2018,41132,Campoalegre,Comercial,2692705
2018,41206,Colombia,Comercial,136441
2018,41244,Elias,Comercial,128242
2018,41298,Garzon,Comercial,4802958
2018,41306,Gigante,Comercial,2277422
2018,41319,Guadalupe,Comercial,610642
2018,41349,Hobo,Comercial,692384
2018,41357,Iquira,Comercial,164184
2018,41359,Isnos,Comercial,784928
2018,41378,La Argentina,Comercial,126734
2018,41396,La Plata,Comercial,2961507
2018,41483,Nataga,Comercial,122159
2018,41503,Oporapa,Comercial,217257
2018,41518,Paicol,Comercial,104216
2018,41524,Palermo,Comercial,5229162
2018,41530,Palestina,Comercial,253751
2018,41548,Pital,Comercial,295637
2018,41551,Pitalito,Comercial,15837269
2018,41615,Rivera,Comercial,2208214
2018,41660,Saladoblanco,Comercial,334584
2018,41668,San Agustin,Comercial,1380641
2018,41676,Santa Maria,Comercial,345810
2018,41770,Suaza,Comercial,499311
2018,41791,Tarqui,Comercial,467719
2018,41799,Tello,Comercial,417357
2018,41801,Teruel,Comercial,480582
2018,41797,Tesalia,Comercial,396643
2018,41807,Timana,Comercial,927463
2018,41872,Villavieja,Comercial,153988
2018,41885,Yaguara,Comercial,576672
2017,41001,Neiva,Comercial,83203910
