Código DANE,Municipio,Categoría,Límite %,VIGENCIA,INDICADOR,Estado del indicador
41530,Palestina,6,"0,8",2018,"50,97 %",Cumple
41548,Pital,6,"0,8",2018,"57,38 %",Cumple
41615,Rivera,6,"0,8",2018,"48,31 %",Cumple
41660,Saladoblanco,6,"0,8",2018,"66,47 %",Cumple
41668,San Agustín,6,"0,8",2018,"61,95 %",Cumple
41676,Santa María,6,"0,8",2018,"64,35 %",Cumple
41770,Suaza,6,"0,8",2018,"31,15 %",Cumple
41791,Tarqui,6,"0,8",2018,"74,94 %",Cumple
41797,Tesalia,6,"0,8",2018,"44,62 %",Cumple
41799,Tello,6,"0,8",2018,"62,53 %",Cumple
41801,Teruel,6,"0,8",2018,"59,19 %",Cumple
41807,Timaná,6,"0,8",2018,"46,93 %",Cumple
41872,Villavieja,6,"0,8",2018,"51,25 %",Cumple
41885,Yaguará,6,"0,8",2018,"65,11 %",Cumple
41006,Acevedo,6,"0,8",2019,"50,16 %",Cumple
41013,Agrado,6,"0,8",2019,"48,41 %",Cumple
41016,Aipe,6,"0,8",2019,"69,73 %",Cumple
41020,Algeciras,6,"0,8",2019,"58,41 %",Cumple
41026,Altamira,6,"0,8",2019,"45,60 %",Cumple
41078,Baraya,6,"0,8",2019,"65,17 %",Cumple
41132,Campoalegre,6,"0,8",2019,"63,00 %",Cumple
41206,Colombia,6,"0,8",2019,"43,62 %",Cumple
41244,Elías,6,"0,8",2019,"41,11 %",Cumple
41298,Garzón,6,"0,8",2019,"71,72 %",Cumple
41306,Gigante,6,"0,8",2019,"51,67 %",Cumple
41319,Guadalupe,6,"0,8",2019,"49,69 %",Cumple
41349,Hobo,6,"0,8",2019,"39,80 %",Cumple
41357,Íquira,6,"0,8",2019,"55,79 %",Cumple
41359,Isnos,6,"0,8",2019,"65,09 %",Cumple
41378,La Argentina,6,"0,8",2019,"58,48 %",Cumple
41396,La Plata,6,"0,8",2019,"48,85 %",Cumple
41483,Nátaga,6,"0,8",2019,"49,35 %",Cumple
41503,Oporapa,6,"0,8",2019,"45,60 %",Cumple
41518,Paicol,6,"0,8",2019,"43,46 %",Cumple
41524,Palermo,6,"0,8",2019,"29,09 %",Cumple
41530,Palestina,6,"0,8",2019,"48,82 %",Cumple
41548,Pital,6,"0,8",2019,"61,53 %",Cumple
41615,Rivera,6,"0,8",2019,"54,10 %",Cumple
41660,Saladoblanco,6,"0,8",2019,"58,19 %",Cumple
41668,San Agustín,6,"0,8",2019,"57,63 %",Cumple
41676,Santa María,6,"0,8",2019,"73,90 %",Cumple
41770,Suaza,6,"0,8",2019,"32,64 %",Cumple
41791,Tarqui,6,"0,8",2019,"59,45 %",Cumple
41797,Tesalia,6,"0,8",2019,"51,77 %",Cumple
41799,Tello,6,"0,8",2019,"56,73 %",Cumple
41801,Teruel,6,"0,8",2019,"60,69 %",Cumple
41807,Timaná,6,"0,8",2019,"46,73 %",Cumple
41872,Villavieja,6,"0,8",2019,"43,54 %",Cumple
41885,Yaguará,6,"0,8",2019,"65,43 %",Cumple
41006,Acevedo,6,"0,8",2020,"42,31 %",Cumple
41013,Agrado,6,"0,8",2020,"46,02 %",Cumple
41016,Aipe,6,"0,8",2020,"66,41 %",Cumple
41020,Algeciras,6,"0,8",2020,"55,28 %",Cumple
41026,Altamira,6,"0,8",2020,"45,22 %",Cumple
41078,Baraya,6,"0,8",2020,"51,85 %",Cumple
41132,Campoalegre,6,"0,8",2020,"64,27 %",Cumple
41206,Colombia,6,"0,8",2020,"39,57 %",Cumple
41244,Elías,6,"0,8",2020,"48,61 %",Cumple
41298,Garzón,6,"0,8",2020,"65,88 %",Cumple
41306,Gigante,6,"0,8",2020,"45,34 %",Cumple
41319,Guadalupe,6,"0,8",2020,"41,84 %",Cumple
41349,Hobo,6,"0,8",2020,"39,83 %",Cumple
41357,Íquira,6,"0,8",2020,"51,68 %",Cumple
41359,Isnos,6,"0,8",2020,"41,70 %",Cumple
41378,La Argentina,6,"0,8",2020,"63,01 %",Cumple
41396,La Plata,6,"0,8",2020,"48,48 %",Cumple
41483,Nátaga,6,"0,8",2020,"51,92 %",Cumple
41503,Oporapa,6,"0,8",2020,"52,53 %",Cumple
41518,Paicol,6,"0,8",2020,"47,76 %",Cumple
41524,Palermo,6,"0,8",2020,"29,80 %",Cumple
41530,Palestina,6,"0,8",2020,"56,54 %",Cumple
41548,Pital,6,"0,8",2020,"51,06 %",Cumple
41615,Rivera,6,"0,8",2020,"45,32 %",Cumple
41660,Saladoblanco,6,"0,8",2020,"65,38 %",Cumple
41668,San Agustín,6,"0,8",2020,"57,73 %",Cumple
41676,Santa María,6,"0,8",2020,"65,71 %",Cumple
41770,Suaza,6,"0,8",2020,"32,67 %",Cumple
41791,Tarqui,6,"0,8",2020,"59,96 %",Cumple
41797,Tesalia,6,"0,8",2020,"47,52 %",Cumple
41799,Tello,6,"0,8",2020,"67,63 %",Cumple
41801,Teruel,6,"0,8",2020,"61,52 %",Cumple
41807,Timaná,6,"0,8",2020,"50,22 %",Cumple
41872,Villavieja,6,"0,8",2020,"54,85 %",Cumple
41885,Yaguará,6,"0,8",2020,"56,91 %",Cumple
41016,Aipe,6,"0,8",2017,"81,00 %",No Cumple
41001,Neiva,1,"0,65",2016,"54,43 %",Cumple
41551,Pitalito,4,"0,8",2016,"38,73 %",Cumple
41001,Neiva,1,"0,65",2017,"56,17 %",Cumple
41551,Pitalito,4,"0,8",2017,"49,25 %",Cumple
41001,Neiva,1,"0,65",2018,"56,61 %",Cumple
41551,Pitalito,4,"0,8",2018,"53,53 %",Cumple
41001,Neiva,1,"0,65",2019,"57,24 %",Cumple
41551,Pitalito,4,"0,8",2019,"52,07 %",Cumple
41001,Neiva,1,"0,65",2020,"62,70 %",Cumple
41551,Pitalito,4,"0,8",2020,"59,02 %",Cumple
