vigencia,CODIGO DANE,MPIO.,ESTRATO,Mes,Usuario
2018,41016,AIPE,Industrial,ENERO,0
2018,41016,AIPE,Industrial,FEBRERO,0
2018,41016,AIPE,Industrial,MARZO,0
2018,41016,AIPE,Industrial,ABRIL,0
2018,41016,AIPE,Industrial,MAYO,0
2018,41016,AIPE,Industrial,JUNIO,0
2018,41016,AIPE,Industrial,JULIO,0
2018,41016,AIPE,Industrial,AGOSTO,0
2018,41016,AIPE,Industrial,SEPTIEMBRE,0
2018,41016,AIPE,Industrial,OCTUBRE,0
2018,41016,AIPE,Industrial,NOVIEMBRE,0
2018,41016,AIPE,Industrial,DICIEMBRE,0
2018,41020,ALGECIRAS,Industrial,ENERO,0
2018,41020,ALGECIRAS,Industrial,FEBRERO,0
2018,41020,ALGECIRAS,Industrial,MARZO,0
2018,41020,ALGECIRAS,Industrial,ABRIL,0
2018,41020,ALGECIRAS,Industrial,MAYO,0
2018,41020,ALGECIRAS,Industrial,JUNIO,0
2018,41020,ALGECIRAS,Industrial,JULIO,0
2018,41020,ALGECIRAS,Industrial,AGOSTO,0
2018,41020,ALGECIRAS,Industrial,SEPTIEMBRE,0
2018,41020,ALGECIRAS,Industrial,OCTUBRE,0
2018,41020,ALGECIRAS,Industrial,NOVIEMBRE,0
2018,41020,ALGECIRAS,Industrial,DICIEMBRE,0
2018,41078,BARAYA,Industrial,ENERO,0
2018,41078,BARAYA,Industrial,FEBRERO,0
2018,41078,BARAYA,Industrial,MARZO,0
2018,41078,BARAYA,Industrial,ABRIL,0
2018,41078,BARAYA,Industrial,MAYO,0
2018,41078,BARAYA,Industrial,JUNIO,0
2018,41078,BARAYA,Industrial,JULIO,0
2018,41078,BARAYA,Industrial,AGOSTO,0
2018,41078,BARAYA,Industrial,SEPTIEMBRE,0
2018,41078,BARAYA,Industrial,OCTUBRE,0
2018,41078,BARAYA,Industrial,NOVIEMBRE,0
2018,41078,BARAYA,Industrial,DICIEMBRE,0
2018,41298,GARZON,Industrial,ENERO,0
2018,41298,GARZON,Industrial,FEBRERO,0
2018,41298,GARZON,Industrial,MARZO,0
2018,41298,GARZON,Industrial,ABRIL,0
2018,41298,GARZON,Industrial,MAYO,0
2018,41298,GARZON,Industrial,JUNIO,0
2018,41298,GARZON,Industrial,JULIO,0
2018,41298,GARZON,Industrial,AGOSTO,0
2018,41298,GARZON,Industrial,SEPTIEMBRE,0
2018,41298,GARZON,Industrial,OCTUBRE,0
2018,41298,GARZON,Industrial,NOVIEMBRE,0
2018,41298,GARZON,Industrial,DICIEMBRE,0
2018,41306,GIGANTE,Industrial,ENERO,0
2018,41306,GIGANTE,Industrial,FEBRERO,0
2018,41306,GIGANTE,Industrial,MARZO,0
2018,41306,GIGANTE,Industrial,ABRIL,0
2018,41306,GIGANTE,Industrial,MAYO,0
2018,41306,GIGANTE,Industrial,JUNIO,0
2018,41306,GIGANTE,Industrial,JULIO,0
2018,41306,GIGANTE,Industrial,AGOSTO,0
2018,41306,GIGANTE,Industrial,SEPTIEMBRE,0
2018,41306,GIGANTE,Industrial,OCTUBRE,0
2018,41306,GIGANTE,Industrial,NOVIEMBRE,0
2018,41306,GIGANTE,Industrial,DICIEMBRE,0
2018,41349,HOBO,Industrial,ENERO,0
2018,41349,HOBO,Industrial,FEBRERO,0
2018,41349,HOBO,Industrial,MARZO,0
2018,41349,HOBO,Industrial,ABRIL,0
2018,41349,HOBO,Industrial,MAYO,0
2018,41349,HOBO,Industrial,JUNIO,0
2018,41349,HOBO,Industrial,JULIO,0
2018,41349,HOBO,Industrial,AGOSTO,0
2018,41349,HOBO,Industrial,SEPTIEMBRE,0
2018,41349,HOBO,Industrial,OCTUBRE,0
2018,41349,HOBO,Industrial,NOVIEMBRE,0
2018,41349,HOBO,Industrial,DICIEMBRE,0
2018,41396,LA PLATA,Industrial,ENERO,0
2018,41396,LA PLATA,Industrial,FEBRERO,0
2018,41396,LA PLATA,Industrial,MARZO,0
2018,41396,LA PLATA,Industrial,ABRIL,0
2018,41396,LA PLATA,Industrial,MAYO,0
2018,41396,LA PLATA,Industrial,JUNIO,0
2018,41396,LA PLATA,Industrial,JULIO,0
2018,41396,LA PLATA,Industrial,AGOSTO,0
2018,41396,LA PLATA,Industrial,SEPTIEMBRE,0
2018,41396,LA PLATA,Industrial,OCTUBRE,0
2018,41396,LA PLATA,Industrial,NOVIEMBRE,0
2018,41396,LA PLATA,Industrial,DICIEMBRE,0
2018,41518,PAICOL,Industrial,ENERO,0
2018,41518,PAICOL,Industrial,FEBRERO,0
2018,41518,PAICOL,Industrial,MARZO,0
2018,41518,PAICOL,Industrial,ABRIL,0
2018,41518,PAICOL,Industrial,MAYO,0
2018,41518,PAICOL,Industrial,JUNIO,0
2018,41518,PAICOL,Industrial,JULIO,0
2018,41518,PAICOL,Industrial,AGOSTO,0
2018,41518,PAICOL,Industrial,SEPTIEMBRE,0
2018,41518,PAICOL,Industrial,OCTUBRE,0
2018,41518,PAICOL,Industrial,NOVIEMBRE,0
2018,41518,PAICOL,Industrial,DICIEMBRE,0
2018,41524,PALERMO,Industrial,ENERO,0
2018,41524,PALERMO,Industrial,FEBRERO,0
2018,41524,PALERMO,Industrial,MARZO,0
