VIGENCIA,CODIGO DANE,MUNICIPIOS,SECTORES,Cant
2016,41548,El Pital,Autoconsumo,4806
2016,41524,Palermo,Autoconsumo,701019
2016,41503,Oporapa,Autoconsumo,2886
2016,41396,La Plata,Autoconsumo,109117
2016,41359,Isnos,Autoconsumo,9003
2016,41357,Iquira,Autoconsumo,61966
2016,41349,Hobo,Autoconsumo,60840
2016,41319,Guadalupe,Autoconsumo,3590
2016,41306,Gigante,Autoconsumo,2349
2016,41298,Garzon,Autoconsumo,144032
2016,41206,Colombia,Autoconsumo,6176
2016,41132,Campoalegre,Autoconsumo,39208
2016,41078,Baraya,Autoconsumo,5220
2016,41026,Altamira,Autoconsumo,222691
2016,41016,Aipe,Autoconsumo,11705
2016,41006,Acevedo,Autoconsumo,4420
2016,41001,Neiva,Autoconsumo,911492
2015,41885,Yaguara,Autoconsumo,56753
2015,41807,Timana,Autoconsumo,7050
2015,41797,Tesalia,Autoconsumo,
2015,41791,Tarqui,Autoconsumo,7274
2015,41770,Suaza,Autoconsumo,
2015,41676,Santa Maria,Autoconsumo,6168
2015,41668,San Agustin,Autoconsumo,5463
2015,41660,Saladoblanco,Autoconsumo,
2015,41615,Rivera,Autoconsumo,6996
2015,41551,Pitalito,Autoconsumo,70835
2015,41548,El Pital,Autoconsumo,
2015,41530,Palestina,Autoconsumo,1366482
2015,41524,Palermo,Autoconsumo,
2015,41518,Paicol,Autoconsumo,3346
2015,41503,Oporapa,Autoconsumo,
2015,41483,Nataga,Autoconsumo,127198
2015,41396,La Plata,Autoconsumo,
2015,41378,La Argentina,Autoconsumo,9256
2015,41359,Isnos,Autoconsumo,85669
2015,41357,Iquira,Autoconsumo,63300
2015,41349,Hobo,Autoconsumo,5280
2015,41319,Guadalupe,Autoconsumo,5109
2015,41306,Gigante,Autoconsumo,191312
2015,41298,Garzon,Autoconsumo,
2015,41244,Elias,Autoconsumo,6500
2015,41206,Colombia,Autoconsumo,7175
2015,41132,Campoalegre,Autoconsumo,50645
2015,41078,Baraya,Autoconsumo,10000
2015,41026,Altamira,Autoconsumo,147211
2015,41020,Algeciras,Autoconsumo,1509
2015,41016,Aipe,Autoconsumo,8082
2015,41013,Agrado,Autoconsumo,
2015,41006,Acevedo,Autoconsumo,9307
2015,41001,Neiva,Autoconsumo,1208136
2014,41885,Yaguara,Autoconsumo,27380
2014,41807,Timana,Autoconsumo,7016
2014,41791, Tarqui,Autoconsumo,4835
2014,41676,Santa Maria,Autoconsumo,3988
2014,41668,San Agustin,Autoconsumo,18805
2014,41615, Rivera,Autoconsumo,3945
2014,41551, Pitalito,Autoconsumo,67605
2014,41548, El Pital,Autoconsumo,7120
2014,41524, Palermo,Autoconsumo,715181
2014,41503, Oporapa,Autoconsumo,6724
2014,41396, La Plata,Autoconsumo,121886
2014,41359, Isnos,Autoconsumo,11797
2014,41357, Iquira,Autoconsumo,72056
2014,41349, Hobo,Autoconsumo,3600
2014,41319, Guadalupe,Autoconsumo,3329
2014,41306, Gigante,Autoconsumo,4993
2014,41298,Garzon,Autoconsumo,189618
2014,41206, Colombia,Autoconsumo,3600
2014,41132, Campoalegre,Autoconsumo,17208
2014,41078, Baraya,Autoconsumo,4076
2014,41026, Altamira,Autoconsumo,97988
2014,41020, Algeciras,Autoconsumo,3600
2014,41016, Aipe,Autoconsumo,7200
2014,41006, Acevedo,Autoconsumo,6752
2014,41001, Neiva,Autoconsumo,809116
2013,41016, Aipe,Autoconsumo,7200
2013,41885,Yaguara,Autoconsumo,26621
2013,41807,Timana,Autoconsumo,9485
2013,41676,Santa Maria,Autoconsumo,3600
2013,41668,San Agustin,Autoconsumo,9795
2013,41615, Rivera,Autoconsumo,3600
2013,41551, Pitalito,Autoconsumo,52395
2013,41530, Palermo,Autoconsumo,703881
2013,41518, Oporapa,Autoconsumo,5772
2013,41483, La Plata,Autoconsumo,100843
2013,41378, Isnos,Autoconsumo,9610
2013,41359, Iquira,Autoconsumo,68197
2013,41357, Hobo,Autoconsumo,3600
2013,41319, Gigante,Autoconsumo,2125
2013,41306,Garzon,Autoconsumo,144302
2013,41244, El Pital,Autoconsumo,8290
2013,41206, Colombia,Autoconsumo,3600
2013,41132, Campoalegre,Autoconsumo,17208
2013,41078, Baraya,Autoconsumo,3600
2013,41026, Altamira,Autoconsumo,112998
2013,41020, Algeciras,Autoconsumo,3600
2013,41006, Acevedo,Autoconsumo,6126
2013,41001, Neiva,Autoconsumo,837511
2018,41359,Isnos,Area Comunes Provisional Bombeo y Especial,57733
2018,41885,Yaguara,Area Comunes Provisional Bombeo y Especial,712045
2018,41872,Villavieja,Area Comunes Provisional Bombeo y Especial,193109
2018,41807,Timana,Area Comunes Provisional Bombeo y Especial,178546
2018,41797,Tesalia,Area Comunes Provisional Bombeo y Especial,103222
2018,41801,Teruel,Area Comunes Provisional Bombeo y Especial,4044
2018,41799,Tello,Area Comunes Provisional Bombeo y Especial,289971
2018,41791,Tarqui,Area Comunes Provisional Bombeo y Especial,39419
2018,41770,Suaza,Area Comunes Provisional Bombeo y Especial,7256
2018,41676,Santa Maria,Area Comunes Provisional Bombeo y Especial,16781
2018,41668,San Agustin,Area Comunes Provisional Bombeo y Especial,200213
2018,41660,Saladoblanco,Area Comunes Provisional Bombeo y Especial,12480
2018,41615,Rivera,Area Comunes Provisional Bombeo y Especial,649669
2018,41551,Pitalito,Area Comunes Provisional Bombeo y Especial,1156743
2018,41548,El Pital,Area Comunes Provisional Bombeo y Especial,67049
2018,41530,Palestina,Area Comunes Provisional Bombeo y Especial,38076
2018,41524,Palermo,Area Comunes Provisional Bombeo y Especial,1903583
2018,41518,Paicol,Area Comunes Provisional Bombeo y Especial,39837
2018,41503,Oporapa,Area Comunes Provisional Bombeo y Especial,9640
2018,41483,Nataga,Area Comunes Provisional Bombeo y Especial,4222
2018,41396,La Plata,Area Comunes Provisional Bombeo y Especial,133393
2018,41378,La Argentina,Area Comunes Provisional Bombeo y Especial,15853
2018,41357,Iquira,Area Comunes Provisional Bombeo y Especial,50092
2018,41349,Hobo,Area Comunes Provisional Bombeo y Especial,90909
2018,41319,Guadalupe,Area Comunes Provisional Bombeo y Especial,27106
2018,41306,Gigante,Area Comunes Provisional Bombeo y Especial,166501
2018,41298,Garzon,Area Comunes Provisional Bombeo y Especial,697894
2018,41244,Elias,Area Comunes Provisional Bombeo y Especial,9271
2018,41206,Colombia,Area Comunes Provisional Bombeo y Especial,13539
2018,41132,Campoalegre,Area Comunes Provisional Bombeo y Especial,717679
2018,41078,Baraya,Area Comunes Provisional Bombeo y Especial,6817
2018,41026,Altamira,Area Comunes Provisional Bombeo y Especial,2355
2018,41020,Algeciras,Area Comunes Provisional Bombeo y Especial,34170
2018,41016,Aipe,Area Comunes Provisional Bombeo y Especial,59040
2018,41013,Agrado,Area Comunes Provisional Bombeo y Especial,73408
2018,41006,Acevedo,Area Comunes Provisional Bombeo y Especial,68758
2018,41001,Neiva,Area Comunes Provisional Bombeo y Especial,15892064
2017,41885,Yaguara,Area Comunes Provisional Bombeo y Especial,519769
2017,41872,Villavieja,Area Comunes Provisional Bombeo y Especial,209133
2017,41807,Timana,Area Comunes Provisional Bombeo y Especial,220145
2017,41797,Tesalia,Area Comunes Provisional Bombeo y Especial,74602
2017,41801,Teruel,Area Comunes Provisional Bombeo y Especial,7426
2017,41799,Tello,Area Comunes Provisional Bombeo y Especial,25316
2017,41791,Tarqui,Area Comunes Provisional Bombeo y Especial,33404
2017,41770,Suaza,Area Comunes Provisional Bombeo y Especial,10119
2017,41676,Santa Maria,Area Comunes Provisional Bombeo y Especial,23069
2017,41668,San Agustin,Area Comunes Provisional Bombeo y Especial,213376
2017,41660,Saladoblanco,Area Comunes Provisional Bombeo y Especial,12742
2017,41615,Rivera,Area Comunes Provisional Bombeo y Especial,628540
2017,41551,Pitalito,Area Comunes Provisional Bombeo y Especial,1086722
2017,41530,Palestina,Area Comunes Provisional Bombeo y Especial,28987
2017,41524,Palermo,Area Comunes Provisional Bombeo y Especial,1201947
2017,41518,Paicol,Area Comunes Provisional Bombeo y Especial,43152
2017,41503,Oporapa,Area Comunes Provisional Bombeo y Especial,9589
2017,41483,Nataga,Area Comunes Provisional Bombeo y Especial,5394
2017,41396,La Plata,Area Comunes Provisional Bombeo y Especial,149480
2017,41378,La Argentina,Area Comunes Provisional Bombeo y Especial,15729
2017,41359,Isnos,Area Comunes Provisional Bombeo y Especial,82953
2017,41357,Iquira,Area Comunes Provisional Bombeo y Especial,51682
2017,41349,Hobo,Area Comunes Provisional Bombeo y Especial,64144
2017,41319,Guadalupe,Area Comunes Provisional Bombeo y Especial,26793
2017,41306,Gigante,Area Comunes Provisional Bombeo y Especial,176514
2017,41298,Garzon,Area Comunes Provisional Bombeo y Especial,724686
2017,41244,Elias,Area Comunes Provisional Bombeo y Especial,13275
2017,41548,El Pital,Area Comunes Provisional Bombeo y Especial,61295
2017,41206,Colombia,Area Comunes Provisional Bombeo y Especial,2033
2017,41132,Campoalegre,Area Comunes Provisional Bombeo y Especial,692688
2017,41078,Baraya,Area Comunes Provisional Bombeo y Especial,6025
2017,41026,Altamira,Area Comunes Provisional Bombeo y Especial,2260
2017,41020,Algeciras,Area Comunes Provisional Bombeo y Especial,38832
2017,41016,Aipe,Area Comunes Provisional Bombeo y Especial,104511
2017,41013,Agrado,Area Comunes Provisional Bombeo y Especial,82026
2017,41006,Acevedo,Area Comunes Provisional Bombeo y Especial,67913
2017,41001,Neiva,Area Comunes Provisional Bombeo y Especial,19854688
2016,41885,Yaguara,Area Comunes Provisional Bombeo y Especial,183630
2016,41872,Villavieja,Area Comunes Provisional Bombeo y Especial,180978
2016,41807,Timana,Area Comunes Provisional Bombeo y Especial,125227
2016,41797,Tesalia,Area Comunes Provisional Bombeo y Especial,69598
2016,41801,Teruel,Area Comunes Provisional Bombeo y Especial,7261
2016,41799,Tello,Area Comunes Provisional Bombeo y Especial,4245
2016,41791,Tarqui,Area Comunes Provisional Bombeo y Especial,31613
2016,41770,Suaza,Area Comunes Provisional Bombeo y Especial,7838
2016,41676,Santa Maria,Area Comunes Provisional Bombeo y Especial,20359
2016,41668,San Agustin,Area Comunes Provisional Bombeo y Especial,158556
2016,41660,Saladoblanco,Area Comunes Provisional Bombeo y Especial,9103
2016,41615,Rivera,Area Comunes Provisional Bombeo y Especial,486015
2016,41551,Pitalito,Area Comunes Provisional Bombeo y Especial,890474
2016,41548,El Pital,Area Comunes Provisional Bombeo y Especial,48229
2016,41530,Palestina,Area Comunes Provisional Bombeo y Especial,29785
2016,41524,Palermo,Area Comunes Provisional Bombeo y Especial,1320301
2016,41518,Paicol,Area Comunes Provisional Bombeo y Especial,51524
2016,41503,Oporapa,Area Comunes Provisional Bombeo y Especial,5893
2016,41483,Nataga,Area Comunes Provisional Bombeo y Especial,4958
2016,41396,La Plata,Area Comunes Provisional Bombeo y Especial,132981
2016,41378,La Argentina,Area Comunes Provisional Bombeo y Especial,17150
2016,41359,Isnos,Area Comunes Provisional Bombeo y Especial,36961
2016,41357,Iquira,Area Comunes Provisional Bombeo y Especial,46167
2016,41349,Hobo,Area Comunes Provisional Bombeo y Especial,34780
2016,41319,Guadalupe,Area Comunes Provisional Bombeo y Especial,21945
2016,41306,Gigante,Area Comunes Provisional Bombeo y Especial,164525
2016,41298,Garzon,Area Comunes Provisional Bombeo y Especial,704354
2016,41244,Elias,Area Comunes Provisional Bombeo y Especial,6935
2016,41206,Colombia,Area Comunes Provisional Bombeo y Especial,6733
2016,41132,Campoalegre,Area Comunes Provisional Bombeo y Especial,494033
2016,41078,Baraya,Area Comunes Provisional Bombeo y Especial,29552
2016,41026,Altamira,Area Comunes Provisional Bombeo y Especial,1886
2016,41020,Algeciras,Area Comunes Provisional Bombeo y Especial,32472
2016,41016,Aipe,Area Comunes Provisional Bombeo y Especial,49253
2016,41013,Agrado,Area Comunes Provisional Bombeo y Especial,83941
2016,41006,Acevedo,Area Comunes Provisional Bombeo y Especial,87170
2016,41001,Neiva,Area Comunes Provisional Bombeo y Especial,15002942
2015,41885,Yaguara,Area Comunes Provisional Bombeo y Especial,23310
2015,41872,Villavieja,Area Comunes Provisional Bombeo y Especial,173390
2015,41807,Timana,Area Comunes Provisional Bombeo y Especial,36
2015,41799,Tello,Area Comunes Provisional Bombeo y Especial,1581
2015,41791,Tarqui,Area Comunes Provisional Bombeo y Especial,4049
2015,41770,Suaza,Area Comunes Provisional Bombeo y Especial,6161
2015,41668,San Agustin,Area Comunes Provisional Bombeo y Especial,17516
2015,41615,Rivera,Area Comunes Provisional Bombeo y Especial,170271
2015,41551,Pitalito,Area Comunes Provisional Bombeo y Especial,87024
2015,41530,Palestina,Area Comunes Provisional Bombeo y Especial,715076
2015,41524,Palermo,Area Comunes Provisional Bombeo y Especial,968
